source_repo,edition,problem_file,solution_file,status,prompt_length,completion_length,solution_variant,prompt_preview,completion_preview
unknown_repo,IEEEXtreme 11.0,jarawi.pdf,jarawi.py,MATCHED,1360,833,,"Jarawi and The Interview Time limit: 5000 ms Memory limit: 256 MB Today Jarawi had a job interview for a very important tech company, the interviewer asked him to solve the next problem: Given a strin... [TRUNCATED]","def find_suffix(string, p, char_helper): suffix_counter = 0 string_idx = len(string) - 1 for char in p[::-1]: char_id = ord(char) - ord('a') if string_idx < 0: ... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,lionterritory.pdf,lionterritory.py,MATCHED,1200,1488,,"Lion Territory Time limit: 15000 ms Memory limit: 384 MB In your last trip to Africa, you had the luck to encounter lions. The savanna can be encoded as an ( ) matrix, and the lion was located at c... [TRUNCATED]","# I got the solution from the internet. n, m, k = map(int, input().split()) x_limit = n + m + 5 y_limit = n + m + 5 matrix = [[0 for i in range(y_limit)] for j in range(x_limit)] lions = [] for i ... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,mathchallenge.pdf,mathchallenge.py,MATCHED,807,1308,,Math Challenge Time limit: 1250 ms Memory limit: 64 MB Paola is a strict Math teacher. She challenged her students to calculate where . Are you up to the challenge? Can you calculate this number? Sta... [TRUNCATED],"mod = 500000003 factorial = [0] * 1000005 factorial[0] = 1 factorial[1] = 1 for i in range(2, 1000005): factorial[i] = (factorial[i-1] * i) % mod ''' Rearranging Fermat's Little Theorem, we ca... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,maximumsum.pdf,maximumsum.py,MATCHED,1466,745,,"Maximum Sum Time limit: 2500 ms Memory limit: 256 MB Given a sequence that contains ( ) integers, represented by ( ), you have the amazingly easy task to reorder the sequence and maximize the formul... [TRUNCATED]","for i in range(int(input())): n = int(input()) numbers = list(map(int, input().split())) numbers.sort() left_stack = [] right_stack = [] for x in numbers: ... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,mistercounter.pdf,mistercounter.py,MATCHED,1803,861,,"Mister Counter Time limit: 2500 ms Memory limit: 128 MB Do you know Mr. Counter? Well, he is obsessed with counting. For instance, he counts the number of distinct conﬁgurations that a phone number mi... [TRUNCATED]","def solve(a, prev, l, r): if prev[r] < l: return 0 new_left = prev[r] left = new_left + 1 right = r answer = new_left + 1 while left <= right: middle ... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,octopus.pdf,octopus.py,MATCHED,1399,756,,"Octopuses with Watches Time limit: 2500 ms Memory limit: 15 MB IBM puzzlemaster asked, on March 2017 a challenge about eight octopuses where each one of them has eight watches. Your challenge is to wr... [TRUNCATED]","import itertools N, M = [int(x) for x in input().split()] data = [] for n in range(N): data.append([int(x) % 3 for x in input().split()]) def evaluate(data): score = 0 for n in range(N... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,oddcyclecheck.pdf,oddcyclecheck.py,MATCHED,1688,552,,4 1 4 1 2 1 1 3 2 1 4 2 0 4 1 2 1 1 3 1 4 2 1 3 4 1 4 1 0 5 1 2 1 2 3 1 3 4 1 4 5 1 5 1 0 6 1 3 1 5 6 1 4 3 1 4 6 1 3 5 1 6 1 1 2 1 1 2 4 1 3 6 0Odd Cycle Check Time limit: 2500 ms Memory limit: 128 M... [TRUNCATED],"import sys def find(arr, i): if arr[i] != i: arr[i] = find(arr, arr[i]) return arr[i] def union(arr, i1, i2, j1, j2): arr[j1] = arr[i2] arr[j2] = arr[i1] N = int(input()) ... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,preparingforxtreme.pdf,preparingforxtreme.py,MATCHED,2066,1383,," Preparing for Xtreme 12.0 Time limit: 2500 ms Memory limit: 128 MB This is Alice’s ﬁrst programming contest. Since she has had such a great time, she has decided to prepare for Xtreme 12.0 in a met... [TRUNCATED]","import sys def difference(first, second): second = set(second) return [item for item in first if item not in second] def solve(topics_to_cover, books, topic_counts): if len(topics_to_cov... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,pyramid.pdf,pyramid.py,MATCHED,848,745,,"Pyramid Time limit: 2500 ms Memory limit: 128 MB A pyramid of numbers can be represented as a matrix of rows, where the row has elements only on the ﬁrst columns. In addition, , for the ﬁrst row... [TRUNCATED]","# To pass all the test cases, you should use Pypy3 instead of Python3. # I got the solution from the internet. import math mod = 10**9 + 7 n = int(input()) max_height = math.floor(math.log2(n)) + 1... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,quipufunction.pdf,quipufunction.py,MATCHED,2349,248,,Quipu Function Time limit: 2500 ms Memory limit: 20 MB Today is your ﬁrst math class in Peru. Probably you know that Peruvian teachers include words in Quechua language in their classes. In this conte... [TRUNCATED],"def g(x): u = int(x**0.5) return 2*sum(x//k for k in range(1, u + 1)) - u**2 - 1 def quipu(a, b, d): return g(b) - g(b//d) - g(a - 1) + g((a - 1)//d) t, a, b = map(int, input().split()) for i... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,recxor.pdf,recxor.py,MATCHED,1348,1727,,RecXor Time limit: 2000 ms Memory limit: 256 MB A rectangle of dimensions is ﬁlled with numbers sequentially starting from number till the end of the rectangle. There is a second rectangle that ﬁt... [TRUNCATED],"import math # To solve this problem, we should know some properties of the XOR operation. # a ^ a = 0 # a ^ 0 = a # Therefore, to find the XOR of a range of numbers, we can use the following formula:... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,rumour.pdf,rumour.py,MATCHED,851,657,,"Rumour Time limit: 2500 ms Memory limit: 256 MB Consider a with an inﬁnite number of levels. The vertices are labeled with positive integers, starting from the root and moving down the tree, from lef... [TRUNCATED]","# To get 100% points, you have to use Pypy3 instead of Python3. # Otherwise, you will get only 80% points. def lowest_common_ancestor(a,b): if a == 1: return 1 else: numbers =... [TRUNCATED]"
unknown_repo,IEEEXtreme 11.0,stairs.pdf,stairs.py,MATCHED,1186,498,,"Running Up Stairs Time limit: 2500 ms Memory limit: 128 MB Every 12-year-old boy (at least in America) feels the need to run up the stairs skipping some of them. For this problem, we are going to assu... [TRUNCATED]",''' This part had to be added to the code to pass the test cases. Otherwise it gives the following error: ValueError: Exceeds the limit (4300) for integer string conversion: value has 5432 digit... [TRUNCATED]
unknown_repo,IEEEXtreme 11.0,vangelisandbubbles.pdf,vangelisandbubbles.py,MATCHED,1871,1170,,Vangelis the Batbear and the Bubbles challenge Time limit: 2500 ms Memory limit: 256 MB Good evening master Wayne. Joker and his gang attended Black Hat USA 2017 where they learned of a new way on how... [TRUNCATED],"class Graph: def __init__(self, num_vertices): self.num_vertices = num_vertices self.adj_list = [[] for _ in range(num_vertices)] def add_edge(self, v, w): self.adj_l... [TRUNCATED]"
unknown_repo,IEEEXtreme 12.0,barrettreduction.pdf,barrettreduction.py,MATCHED,1315,60,,Barrett Reduction Time limit: 1250 ms Memory limit: 256 MB The compiler optimizes the division by a constant by multiplying your number by a constant and then shifting the result bits. This proces... [TRUNCATED],"A, B = map(int, input().split()) print ((2**B + A - 1) // A)"
unknown_repo,IEEEXtreme 12.0,bearsums.pdf,bearsums.py,MATCHED,3360,435,,"Bear Sums Time limit: 22500 ms Memory limit: 256 MB Mitsos the bear is challenging his brother Vangelis with a mathematical task. Mitsos provides a list of integers and another integer value , then h... [TRUNCATED]","for x in range (int(input())): s, e = map(int, input().split()) numbers = list(map(int, input().split())) seen = set() solution = None for number in numbers: if (s - ... [TRUNCATED]"
unknown_repo,IEEEXtreme 12.0,bitsoccer.pdf,bitsoccer.py,MATCHED,2444,642,,"Bit Soccer Time limit: 1250 ms Memory limit: 256 MB Peredo is a computer scientist who loves soccer. His favorite soccer player is Paolo Guerrero, one of the best Peruvian players, and his favorite te... [TRUNCATED]","num_players = int(input()) performances_indices = list(map(int, input().split())) for i in range(int(input())): expected_index = int(input()) potential_players = [] # If a play... [TRUNCATED]"
unknown_repo,IEEEXtreme 12.0,escape.pdf,escape.py,MATCHED,2124,3567,,2 6 Q 0 0 0 0 0 0 2 A 1 0 1 1 0 1 6 A 0 0 1 0 1 1Troll Coder - Escape Time limit: 25000 ms Memory limit: 256 MB Interactive The treasure is in your hands but there is only one way out of the island: ... [TRUNCATED],"import sys def send(prefix, guess): query = prefix + ' '.join(guess) print(query) sys.stdout.flush() def answer(guess): send('A ', guess) def query(guess): send('Q ', guess) ... [TRUNCATED]"
unknown_repo,IEEEXtreme 12.0,lemons.pdf,lemons.py,MATCHED,3364,365,,"Lemons Time limit: 1250 ms Memory limit: 256 MB If life gives you lemon trees, make sure they have enough water! Pantelis owns a small ﬁeld of lemon trees on the foot of the Troodos mountain. He has c... [TRUNCATED]","import math n, m, s = map(int, input().split()) # This is very similar to binary search. # Worst case happens when the last pump is the broken one. # Then total time to repair is log2(n - 1) * s # T... [TRUNCATED]"
unknown_repo,IEEEXtreme 12.0,magicspell.pdf,magicspell.py,MATCHED,636,423,,Magic Spell Time limit: 2500 ms Memory limit: 256 MB Write a program that gives the correct output for a legal input – to discover the correct function see the input/output examples. Standard Input Th... [TRUNCATED],"translations = {'xrto': '0', 'pmr': '1', 'yep': '2', 'yjtrr': '3', 'gpit': '4', 'gobr': '5', 'doc': '6', 'drbrm': '7', 'rohjy': '8', 'momr': '9'} result = 1 numbers = [] for tests in range(int(input... [TRUNCATED]"
unknown_repo,IEEEXtreme 12.0,trollcoder.pdf,trollcoder.py,MATCHED,1646,718,,"6 Q 0 0 0 0 0 0 2 A 1 0 1 1 0 1Troll Coder Time limit: 2500 ms Memory limit: 256 MB Interactive You have found a huge treasure on an island, but the only access point to that island is a bridge guard... [TRUNCATED]","import sys def send(prefix, guess): query = prefix + ' '.join(guess) print(query) sys.stdout.flush() def answer(guess): send('A ', guess) def query(guess): send('Q ', gu... [TRUNCATED]"
unknown_repo,IEEEXtreme 13.0,avecaesar.pdf,avecaesar.py,MATCHED,1066,543,,"Ave Caesar! Time limit: 2500 ms Memory limit: 256 MB Tired of making ciphers and brutalizing triangles, Caesar decided to impress Tiranca the unicornosaurus with something else, his obsession with alg... [TRUNCATED]","phrases = [] result = [] for i in range (int(input())): phrases.append(input()) for phrase in phrases: substrings = [] start = 0 for i in range(1,len(phrase)): ... [TRUNCATED]"
unknown_repo,IEEEXtreme 13.0,googolplex.pdf,googolplex.py,MATCHED,2374,698,,Googolplex Time limit: 750 ms Memory limit: 256 MB The Alpha universe is much larger than our current universe and the distance between diﬀerent planets is in the order of a few googolplex meters. A g... [TRUNCATED],"# The logic is bit hard to understand. I have to think about it again. # I got the solution from the internet. def pwr(x, q, m): if q == 0: return 1 elif q == 1: return x % m ... [TRUNCATED]"
unknown_repo,IEEEXtreme 13.0,infinitestring.pdf,infinitestring.py,MATCHED,1688,735,,"Inﬁnite String Time limit: 2500 ms Memory limit: 256 MB Ivan Likes playing with strings. Today he decided to make the biggest string ever. Using the ﬁrst characters of the Latin alphabet, he wants to... [TRUNCATED]","# The logic is bit hard to understand. I have to think about it again. # I got the solution from the internet. # 97 is the ASCII value of 'a' for i in range(int(input())): b, x = map(int, input(... [TRUNCATED]"
unknown_repo,IEEEXtreme 13.0,monokeros.pdf,monokeros.py,MATCHED,1839,708,,"Monokeros Time limit: 10000 ms Memory limit: 1.4 GB The true tyrant, mr. W has given Tiranca a new problem: you are given an initially empty binary search tree and a sequence of numbers . A binary sea... [TRUNCATED]","# The logic is bit hard to understand. I have to think about it again. # I got the solution from the internet. billion = 1000000000 nodes = [((-1 * billion, billion), 1)] number_of_elements = int(in... [TRUNCATED]"
unknown_repo,IEEEXtreme 13.0,rangedalfapool.pdf,rangedalfapool.py,MATCHED,2037,619,,"Ranged Alfa Pool Time limit: 5000 ms Memory limit: 462 MB In Alfa Pool, players play against each other in pairs, in the order dictated by the system. For each game, the winner earns a given number of... [TRUNCATED]","# To pass all test cases, you must use Pypy3 instead of Python 3. mod = 1000000007 max = 10**6 f = [0] * (max + 1) f[0] = 1 for i in range(1, max + 1): j = 2 while j - 1 <= i: ... [TRUNCATED]"
unknown_repo,IEEEXtreme 13.0,reshuffleteams.pdf,reshuffleteams.py,MATCHED,1435,1662,,"Reshuﬄe Teams Time limit: 10000 ms Memory limit: 256 MB Recently Sara invented a new board game, and she has invited all her friends to play at her house. Everyone is already sitting at a big circular... [TRUNCATED]","combinations = [('A', 'B', 'C', 'D'), ('A', 'B', 'D', 'C'), ('A', 'C', 'B', 'D'), ('A', 'C', 'D', 'B'), ('A', 'D', 'C', 'B'), ('A', 'D', 'B', 'C')] for i in range(int(input())): current_sitting =... [TRUNCATED]"
unknown_repo,IEEEXtreme 13.0,xranda.pdf,xranda.py,MATCHED,1632,789,,"Xranda and Tree Time limit: 2500 ms Memory limit: 256 MB Xranda and her boyfriend, a man who does not chew are living in an with nodes, with numerical labels on the edges. Their passion for treeolog... [TRUNCATED]","mod = 10**9 + 7 n = int(input()) edges = [] for x in range(n-1): edges.append(list(map(int, input().split()))) edges = sorted(edges, key=lambda x: x[2]) # sort by weight parents = [i for ... [TRUNCATED]"
unknown_repo,IEEEXtreme 13.0,xtremerappers.pdf,xtremerappers.py,MATCHED,1828,64,,"Xtreme Rappers Time limit: 250 ms Memory limit: 256 MB Rapper CrissyChris and her friend, JaCe, will participate in Gold Level, one of the most important events of freestyle in the world. They are tra... [TRUNCATED]","k, j = map(int, input().split()) print(min(k, j, (k + j) // 3))"
unknown_repo,IEEEXtreme 14.0,couponcodes.pdf,couponcodes.py,MATCHED,1716,640,,Coupon Codes Time limit: 5000 ms Memory limit: 256 MB Brett is running a new online goodie shop. The business is booming and it has attracted tens of thousands of customers! Yet Brett is ambitious and... [TRUNCATED],# Performance: O(N) # defaultdic in Python is very similar to map in C++. from collections import defaultdict coupons = defaultdict(int) count = 0 for i in range(int(input())): code = ''.join(... [TRUNCATED]
unknown_repo,IEEEXtreme 14.0,craftingwoodentables.pdf,craftingwoodentables.py,MATCHED,2197,732,,Crafting Wooden Tables Time limit: 2500 ms Memory limit: 256 MB A lot of people are stuck at home due to the unfortunate pandemic this year. They thus resort to building their wonderful home on a des... [TRUNCATED],"# The logic is bit hard to understand. I have to think about it again. # I got the solution from the internet. import math ''' Crafting a wooden table requires C pieces of wood. Pocket has N slots,... [TRUNCATED]"
unknown_repo,IEEEXtreme 14.0,furinback.pdf,furinback.py,MATCHED,4147,578,,Furin Back Time limit: 7500 ms Memory limit: 256 MB Write a program that does what the following program does: Hint: I gave no one real evidence. Furin is not dielectric; and not a great random acoust... [TRUNCATED],# I got the solution from IEEE DataPort for _ in range(int(input())): s = input() a = ord(s[2]) b = ord(s[1]) c = ord(s[0]) a = (256 + a - b) % 256 b = (256 + b - c) ... [TRUNCATED]
unknown_repo,IEEEXtreme 14.0,hotelwiring.pdf,hotelwiring.py,MATCHED,3092,269,,Hotel Wiring Time limit: 5000 ms Memory limit: 256 MB A construction company has decided to let an inexperienced electrician work on power supply wiring for their newest hotel building. After the cons... [TRUNCATED],"for x in range(int(input())): m, n, k = map(int, input().split()) rooms = [] for i in range(m): rooms.append(int(input())) rooms.sort() for i in ran... [TRUNCATED]"
unknown_repo,IEEEXtreme 14.0,mosaic_I.pdf,mosaic_I.py,MATCHED,1205,377,,Mosaic Decoration I Time limit: 2500 ms Memory limit: 256 MB Zapray lives in a big mansion that has bathrooms. He wants to decorate the bathroom walls using mosaic tiles of two colors: black and pink... [TRUNCATED],"import math n, black_price , pink_price = map(int, input().split()) black_total = 0 pink_total = 0 for i in range(n): black_amount, pink_amount = map(int, input().split()) black_total += bl... [TRUNCATED]"
unknown_repo,IEEEXtreme 14.0,mosaic_II.pdf,mosaic_II.py,MATCHED,2715,365,,Mosaic Decoration II Time limit: 2500 ms Memory limit: 256 MB Zapray lives in a big mansion that has many bathrooms. He wants to decorate one bathroom wall using mosaic tiles. The bathroom wall has a ... [TRUNCATED],"import math w, h, a, b, m, c = map(int, input().split()) number_of_tiles = math.ceil(w/a) * math.ceil(h/b) price_of_tiles = math.ceil(number_of_tiles/10) * m inches_to_cut = 0 if w%a: inches_t... [TRUNCATED]"
unknown_repo,IEEEXtreme 14.0,rotationallights.pdf,rotationallights.py,MATCHED,3721,1080,,"Rotational Lights Time limit: 2500 ms Memory limit: 256 MB Your little brother Jerry is four years old. He's quite fun to be around, unless you have work to do. When this happens, you need something t... [TRUNCATED]",# The logic is bit hard to understand. I found the solution on the internet. ''' The steps are as follows: 1. Create an array of the switched on lights and calculate the distance between adjacent pai... [TRUNCATED]
unknown_repo,IEEEXtreme 15.0,riggeddice.pdf,riggeddice.py,MATCHED,3120,856,,"Rigged Dice Time limit: 5000 ms Memory limit: 256 MB Alice and Bob are playing a dice game with two dice labeled die and die . Both dice have six faces valued from to . Initially, Alice has die and... [TRUNCATED]",for g in range(int(input())): alice_has_dice_a = True alice_score = 0 bob_score = 0 first_die_six_count = 0 second_die_six_count = 0 for r in range(int(input())): ... [TRUNCATED]
unknown_repo,IEEEXtreme 15.0,xtremewinners.pdf,xtremewinners.py,MATCHED,1673,54,1,"I have only made this letter longer because I have not had the time to make it shorter.Xtreme Winners Time limit: 1270 ms Memory limit: 256 MB Blaise Pascal (Letter 16, 1657) Write a program that read... [TRUNCATED]",a=input() print('0mkesSraRNEtATo'.index(a[len(a)//2]))
unknown_repo,IEEEXtreme 15.0,xtremewinners.pdf,xtremewinners.rb,MATCHED,1673,43,2,"I have only made this letter longer because I have not had the time to make it shorter.Xtreme Winners Time limit: 1270 ms Memory limit: 256 MB Blaise Pascal (Letter 16, 1657) Write a program that read... [TRUNCATED]",n=gets;p'= KrpSgaUNEeloA'.index(n[n.ord%5])
unknown_repo,IEEEXtreme 16.0,asciidancer.pdf,asciidancer.py,MATCHED,3914,2477,,"ASCII Dancer Time limit: 2500 ms Memory limit: 256 MB In this challenge, we will create a dancing ASCII man. You will be given a series of commands that indicate either the moves the man makes or the ... [TRUNCATED]","def printMan(): for i in range(3): print(man[i][0] + man[i][1] + man[i][2]) def turn(): replace = { '(' : ')', ')' : '(', '<' : '>', '>' : '<', ... [TRUNCATED]"
unknown_repo,IEEEXtreme 16.0,gaius.pdf,gaius.py,MATCHED,1332,729,,"  Gaius Letters Time limit: 2500 ms Memory limit: 256 MB In order to solve this challenge, you will need to break the code used to encrypt it! M fdahq ime ragzp uz Dayq oazfmuzuzs tgzpdqpe ar xqﬀq... [TRUNCATED]","code = {'a': 'o', 'b': 'p', 'c': 'q', 'd': 'r', 'e': 's', 'f': 't', 'g': 'u', 'h': 'v', 'i': 'w', 'j': 'x', 'k': 'y', 'l': 'z', 'm': 'a', 'n': 'b', 'o': 'c', 'p': 'd', 'q': 'e', 'r': 'f', 's'... [TRUNCATED]"
unknown_repo,IEEEXtreme 16.0,language.pdf,language.py,MATCHED,3527,1503,,What Language Am I Speaking? Time limit: 5000 ms Memory limit: 256 MB The decision tree below can be used to determine the language used in a phrase based on the characters present in the text. If a c... [TRUNCATED],"class Internal_Node: def __init__(self, character, left, right): self.character = character self.left = left self.right = right class Leaf_Node: def __init__(s... [TRUNCATED]"
unknown_repo,IEEEXtreme 16.0,mytreat.pdf,mytreat.py,MATCHED,2889,666,,"My Treat Time limit: 2500 ms Memory limit: 256 MB A group of college students has a tradition that when they eat out in a group, one of them pays for everyone's dinners. Now that the students are gett... [TRUNCATED]",tests = int(input()) for x in range(tests): meals_given = int(input()) names = {} for y in range(meals_given): meal = input().split() by_whom = meal[0] ... [TRUNCATED]
unknown_repo,IEEEXtreme 16.0,pizza.pdf,pizza.py,MATCHED,4206,274,,Pizza Cutter Time limit: 2500 ms Memory limit: 256 MB The slicematic is a pizza cutting robot. The robot takes a series of degree oﬀsets as inputs and uses these to slice the pizza along the diameter ... [TRUNCATED],"tests = int(input()) for test in range(tests): angles = list(map(int, input().split())) del angles[0] cuts = set() for i in range(len(angles)): cuts.add(angles[i]%180) ... [TRUNCATED]"
unknown_repo,IEEEXtreme 16.0,scheduler.pdf,scheduler.py,MATCHED,1488,292,,Scheduler Time limit: 2500 ms Memory limit: 256 MB This is an easier version of the Scheduler Redux problem. In this challenge you must ﬁgure out how quickly jobs can be completed by workers. Each j... [TRUNCATED],"# To get 100% points, you have to use Pypy3 instead of Python3 jobs, workers = map(int, input().split()) times = list(map(int, input().split())) if workers > 1: print(2 ** max(times)%1000000007)... [TRUNCATED]"
unknown_repo,IEEEXtreme 16.0,schedulerredux.pdf,schedulerredux.py,MATCHED,1421,1059,,Scheduler Redux Time limit: 2500 ms Memory limit: 256 MB This is a harder version of the Scheduler problem. In this challenge you must ﬁgure out how quickly jobs can be completed by workers. Each jo... [TRUNCATED],"from collections import defaultdict mod = 1000000007 num_jobs, num_workers = map(int, input().split()) jobs = list(map(int, input().split())) if num_workers == 1: sum = 0 for i in ran... [TRUNCATED]"
unknown_repo,IEEEXtreme 17.0,caesarredux.pdf,caesarredux.py,MATCHED,1820,1047,,  Caesar Redux Time limit: 2500 ms Memory limit: 256 MB The Caesar cipher is a simple encryption technique that was used by Julius Caesar to send secret messages to his allies. It works by shiftin... [TRUNCATED],"letters = {'a':0, 'b':1, 'c':2, 'd':3, 'e':4, 'f':5, 'g':6, 'h':7, 'i':8, 'j':9, 'k':10, 'l':11, 'm':12, 'n':13, 'o':14, 'p':15, 'q':16, 'r':17, 's':18, 't':19, 'u':20... [TRUNCATED]"
unknown_repo,IEEEXtreme 17.0,programmerpoem.pdf,programmerpoem.py,MATCHED,3677,1125,,Programmer 's Poem Time limit: 2500 ms Memory limit: 256 MB Programmer's Poem The poem above is meant to be read: Waka waka bang splat tick tick hash Caret quote back tick dollar dollar dash Bang spla... [TRUNCATED],"num_families, num_lyrics = map(int, input().split()) current_letter = 'A' families = {} for i in range(num_families): line = input() words = line.split() for word in words: families[word.lowe... [TRUNCATED]"
unknown_repo,IEEEXtreme 17.0,restaurantcipher.pdf,restaurantcipher.py,MATCHED,1216,320,,"Restaurant Cipher Time limit: 2500 ms Memory limit: 256 MB Ali always asks his chef to cook some speciﬁc recipes. They wanted to have some fun, so, they agreed to name some recipes with just the lette... [TRUNCATED]","for x in range(int(input())): times = {'a':0, 'b':0, 'c':0, 'd':0, 'e':0, 'f':0, 'g':0} letters = list(times.keys()) code = input() for x in code: if x in times: ... [TRUNCATED]"
unknown_repo,IEEEXtreme 17.0,wargames.pdf,wargames.py,MATCHED,2514,1016,,"War Games Time limit: 2500 ms Memory limit: 256 MB In one variant of the game of war, two players are dealt a pile of playing cards. At each turn, both players turn over their top card, and the player... [TRUNCATED]","# We have to check whether count is less than 82 to prevent infinite loop. # I do not know the significance of the value 82. I just found it by trial and error. values = {'2':1, '3':2, '4':3, '5':4, ... [TRUNCATED]"
unknown_repo,IEEEXtreme 18.0,stick.pdf,stick.py,MATCHED,1341,247,,Stick Time limit: 1250 ms Memory limit: 256 MB There are squares on a cartesian plane. The -th square has bottom-left corner on and top-right corner on . What is the area of the union of the squares... [TRUNCATED],"n, k, l = map(int, input().split()) square_area = 4 * l * l total_area = square_area if k >= 2 * l: extra_area = square_area else: extra_area = 4 * l * l - (2 * l - k) * (2 * l - k) total_... [TRUNCATED]"
